Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
uw,60491097,2,"Saturday, January 12, 2013 15:16:50 UTC",47.6203,-120.2687,2.2,1.30,11,"Washington"
nn,00399504,9,"Saturday, January 12, 2013 15:11:27 UTC",40.3547,-119.8444,1.2,9.70,13,"Nevada"
ak,10637451,2,"Saturday, January 12, 2013 15:07:02 UTC",63.0590,-151.5090,1.2,7.80,12,"Central Alaska"
ak,10637449,1,"Saturday, January 12, 2013 15:03:48 UTC",61.1542,-146.9559,1.6,14.40, 6,"Southern Alaska"
ak,10637445,1,"Saturday, January 12, 2013 15:01:04 UTC",62.0575,-145.1307,1.5,20.40, 5,"Central Alaska"
ak,10637443,1,"Saturday, January 12, 2013 14:58:37 UTC",63.9257,-150.3212,1.7,0.00,13,"Central Alaska"
pr,13012030,0,"Saturday, January 12, 2013 14:39:02 UTC",19.6940,-64.2605,3.4,42.00,11,"Virgin Islands region"
us,b000emxv,6,"Saturday, January 12, 2013 14:32:38 UTC",-53.1139,-46.9710,5.1,14.50,57,"South Atlantic Ocean"
pr,13012031,0,"Saturday, January 12, 2013 14:24:05 UTC",19.1713,-64.2201,3.5,100.00, 6,"Virgin Islands region"
pr,13012023,0,"Saturday, January 12, 2013 14:22:54 UTC",19.6054,-64.2770,3.3,73.00,13,"Virgin Islands region"
ak,10637436,1,"Saturday, January 12, 2013 14:15:00 UTC",62.2383,-145.8230,1.7,3.90, 8,"Central Alaska"
pr,13012029,0,"Saturday, January 12, 2013 14:13:32 UTC",19.1165,-64.0651,3.1,107.00, 3,"Virgin Islands region"
nc,71920701,1,"Saturday, January 12, 2013 19:43:18 UTC",38.7865,-122.7630,1.7,1.10,27,"Northern California"
ci,15272337,0,"Friday, January 11, 2013 23:37:07 UTC",33.4980,-117.2227,1.5,18.60,17,"Southern California"
nc,71920166,2,"Friday, January 11, 2013 23:32:16 UTC",37.5030,-118.8128,1.0,8.00,23,"Central California"
pr,13011009,0,"Friday, January 11, 2013 23:19:13 UTC",19.7198,-64.3291,3.1,47.00, 6,"Virgin Islands region"
pr,13011007,0,"Friday, January 11, 2013 22:46:33 UTC",19.1180,-65.1791,3.1,82.00, 6,"Puerto Rico region"
ak,10637185,1,"Friday, January 11, 2013 22:30:27 UTC",62.2514,-150.0237,1.7,34.00,14,"Central Alaska"
uw,60490937,1,"Friday, January 11, 2013 22:20:31 UTC",49.3860,-120.4967,0.0,0.00, 9,"British Columbia, Canada"
mb,13325617,2,"Friday, January 11, 2013 22:15:09 UTC",47.4516,-115.9670,1.5,2.00,11,"northern Idaho"
ak,10637180,1,"Friday, January 11, 2013 21:59:37 UTC",60.2969,-152.1891,1.4,74.60, 7,"Southern Alaska"
nc,71920121,1,"Friday, January 11, 2013 21:49:21 UTC",38.7867,-122.7635,1.2,1.90,22,"Northern California"
pr,13011008,0,"Friday, January 11, 2013 21:45:10 UTC",19.0540,-64.0481,3.2,101.00, 6,"Virgin Islands region"
nc,71920696,0,"Saturday, January 12, 2013 19:37:01 UTC",40.3742,-122.1120,1.3,10.60, 9,"Northern California"
nc,71920686,1,"Saturday, January 12, 2013 19:30:50 UTC",38.8083,-122.8227,1.2,2.30,24,"Northern California"
ci,15272537,0,"Saturday, January 12, 2013 19:07:32 UTC",33.3733,-117.1703,1.3,14.40,17,"Southern California"
ak,10637537,1,"Saturday, January 12, 2013 18:49:24 UTC",60.6897,-141.6620,1.9,32.40,12,"Southern Alaska"
ak,10637523,2,"Saturday, January 12, 2013 18:42:52 UTC",61.6978,-147.0048,3.0,20.10,63,"Southern Alaska"
ci,15272529,0,"Saturday, January 12, 2013 18:33:53 UTC",33.5647,-117.4513,1.9,0.00,13,"Southern California"
nc,71920666,1,"Saturday, January 12, 2013 18:27:16 UTC",38.8215,-122.7937,1.4,3.10,34,"Northern California"
ak,10637498,1,"Saturday, January 12, 2013 17:54:12 UTC",60.9345,-152.0231,2.1,77.80,12,"Southern Alaska"
us,b000emzu,6,"Saturday, January 12, 2013 17:33:37 UTC",-2.9911,129.8079,5.3,7.30,185,"Seram, Indonesia"
ci,15272505,0,"Saturday, January 12, 2013 17:31:11 UTC",33.4792,-116.5317,1.5,15.60,84,"Southern California"
ak,10637473,1,"Saturday, January 12, 2013 16:34:38 UTC",61.3581,-146.5506,1.6,26.30, 5,"Southern Alaska"
nc,71920611,0,"Saturday, January 12, 2013 16:20:55 UTC",38.7593,-122.8752,1.0,4.20,12,"Northern California"
ci,15272489,0,"Saturday, January 12, 2013 15:48:32 UTC",34.3395,-116.8795,1.5,2.10,47,"Southern California"
us,b000emxh,7,"Saturday, January 12, 2013 13:37:23 UTC",47.4002,153.4391,5.3,35.00,390,"Kuril Islands"
ak,10637419,1,"Saturday, January 12, 2013 13:20:11 UTC",63.2477,-149.9867,1.8,104.80,16,"Central Alaska"
ak,10637414,1,"Saturday, January 12, 2013 12:47:19 UTC",65.3816,-144.2587,1.8,0.00, 9,"northern Alaska"
ak,10637412,1,"Saturday, January 12, 2013 12:40:03 UTC",60.1743,-149.6982,1.8,0.40, 4,"Kenai Peninsula, Alaska"
us,b000emx7,6,"Saturday, January 12, 2013 12:34:16 UTC",23.9843,122.3449,4.8,28.00,52,"Taiwan region"
pr,13012026,0,"Saturday, January 12, 2013 12:29:19 UTC",19.1965,-64.2330,2.7,97.00, 3,"Virgin Islands region"
ci,15272473,0,"Saturday, January 12, 2013 12:27:34 UTC",33.3055,-116.3712,1.2,8.00,42,"Southern California"
ak,10637405,1,"Saturday, January 12, 2013 12:25:42 UTC",63.4365,-150.2296,1.5,2.20, 9,"Central Alaska"
pr,13012025,0,"Saturday, January 12, 2013 12:17:27 UTC",19.4382,-64.2185,3.2,96.00, 6,"Virgin Islands region"
us,b000emx0,4,"Saturday, January 12, 2013 12:16:00 UTC",37.2599,144.7667,4.6,35.00,37,"off the east coast of Honshu, Japan"
ak,10631802,3,"Saturday, January  5, 2013 23:00:28 UTC",54.1150,-165.9967,1.3,6.70,13,"Fox Islands, Aleutian Islands, Alaska"
ak,10636692,2,"Saturday, January  5, 2013 22:50:56 UTC",55.6015,-134.9314,2.5,20.00, 9,"Southeastern Alaska"
ak,10636691,2,"Saturday, January  5, 2013 22:33:23 UTC",52.7355,-169.4903,2.3,6.60, 7,"Fox Islands, Aleutian Islands, Alaska"
us,c000ek17,6,"Saturday, January  5, 2013 22:04:37 UTC",44.1014,146.8489,4.6,102.40,153,"Kuril Islands"
ak,10636690,2,"Saturday, January  5, 2013 21:56:03 UTC",55.5883,-135.0547,3.2,20.00,12,"off the coast of Southeastern Alaska"
ak,10631969,3,"Saturday, January  5, 2013 21:49:34 UTC",62.2735,-149.5358,1.4,53.20,16,"Central Alaska"
ak,10631794,3,"Saturday, January  5, 2013 21:44:03 UTC",51.4817,-176.1561,2.0,26.80,15,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10636687,2,"Saturday, January  5, 2013 21:34:25 UTC",60.4062,-148.3471,1.5,4.80,10,"Kenai Peninsula, Alaska"
ak,10631789,2,"Saturday, January  5, 2013 21:27:45 UTC",64.5252,-151.3103,1.5,13.00,10,"Central Alaska"
us,c000ek0i,6,"Saturday, January  5, 2013 21:26:56 UTC",55.3116,-134.7276,4.0,9.90,81,"Southeastern Alaska"
ak,10636684,2,"Saturday, January  5, 2013 21:06:53 UTC",53.2942,-167.2919,2.0,55.00,12,"Fox Islands, Aleutian Islands, Alaska"
ak,10636683,2,"Saturday, January  5, 2013 21:01:57 UTC",55.4375,-134.7142,2.7,20.00, 8,"Southeastern Alaska"
ak,10636682,2,"Saturday, January  5, 2013 20:54:57 UTC",55.8668,-134.9697,2.1,10.00, 5,"Southeastern Alaska"
us,c000ejzq,7,"Saturday, January  5, 2013 20:46:03 UTC",36.3921,142.9928,4.6,30.70,92,"off the east coast of Honshu, Japan"
ak,10636681,2,"Saturday, January  5, 2013 20:46:03 UTC",55.4689,-135.3110,2.7,10.00, 4,"off the coast of Southeastern Alaska"
ak,10631776,3,"Saturday, January  5, 2013 20:43:18 UTC",55.4611,-135.3817,4.2,10.40,22,"off the coast of Southeastern Alaska"
ak,10636679,2,"Saturday, January  5, 2013 20:41:48 UTC",55.8116,-134.9622,2.9,10.00, 7,"Southeastern Alaska"
ak,10636678,2,"Saturday, January  5, 2013 20:38:32 UTC",55.6674,-134.7293,2.4,2.30, 7,"Southeastern Alaska"
ak,10636677,2,"Saturday, January  5, 2013 20:32:57 UTC",55.5115,-135.3832,2.4,1.00, 7,"off the coast of Southeastern Alaska"
